id,mjd,ra,dec,f0,f1,f2,f3,f4,f5,f6,f7,reconstruction,energy,drlogl
81,57480.64736143,1.8497845,0.10216218,1.4686341453287475,1.8497844877751854,1.9330831373006918,3968.658481158243,1065.7455759755765,1.0,0.0,0.0,Track,98539.805,-1.5202614
82,57505.2448176,4.1997623,0.16491486,1.405881459567543,-2.083422974411432,1.6330110470529313,51280.87071718126,10536.938777049674,1.0,0.0,0.0,Track,120964.31,-2.2714274
83,57549.42471319,1.7884458,-0.4972277,2.9926754232032966,0.5970464964644978,2.0074327530277296,43.4378683828673,41.656119744276204,-0.9624399785832226,0.010000000000001442,-1.1348451591583706,Shower,48104.13,-0.08369048
84,57580.09098515,3.000965,-0.3351562,1.9059525245089293,3.00096500108529,2.888940391789181,72.50786770640384,5.041135740963575,1.0,0.0,0.0,Shower,671565.5,-0.02568955
85,57585.37570668,2.099305,-0.032123234,1.6459571453899275,0.4186474014317369,1.4792543831147367,29.22042002881499,106.14486654702372,-0.4908640272383581,2.552673240650841,0.3951695858125277,Shower,51954.547,-0.027423838
86,57600.07990203,3.7499568,-0.0036668992,1.574463225891506,-2.5332284526193947,2.085758519893881,32045.39389033429,3186.2818596723014,1.0,0.0,0.0,Track,138992.25,-9.574182
87,57614.90687587,3.4652572,-0.57609874,2.1468950948226277,-2.81792809613803,1.324341686131778,4287.6184153051245,1125.1286993448166,1.0,0.0,0.0,Track,106564.13,-3.6582
88,57659.18335114,2.3606055,0.6112229,0.9595734212743702,2.3606055439617775,2.202107096956862,177.99946733993957,8.383792448003032,1.0,0.0,0.0,Track,45206.45,-1.4380516
89,57667.18530412,5.1356006,0.2585616,1.3122347073419334,-1.147584908308389,1.6927785590292987,5855.551446628229,2227.6237378124306,1.0,0.0,0.0,Track,113203.33,-1.9803777
90,57677.99418028,2.7208102,-0.28996468,2.7923787909533337,-1.16256492453845,-2.609145170228894,18.21282243610553,19.117085307180208,-0.7073210763839162,1.5025952113016285,1.712892386867394,Shower,140401.55,-0.036503285
91,57695.38022137,0.72369736,0.2235454,1.347250922685932,0.7236973929516365,1.0813215476013631,6345.094569327849,1305.060501945989,1.0,0.0,0.0,Track,73818.21,-2.7374415
92,57698.11871636,3.808897,-0.16272211,1.7335184372140726,-2.4742883086058387,1.964758688014894,103.28393158108808,11.084679641496557,1.0,0.0,0.0,Shower,66473.22,-0.012007062
93,57706.70533627,0.4777017,0.2274783,2.7917817573809827,1.1610467285879789,-2.2478767737505496,21.73934409717883,74.98545609404951,-0.46263299065968133,1.226981356132937,-1.2939636549636915,Shower,36461.684,-0.04336127
94,57716.89056254,3.3910081,0.39811072,2.8157034571818444,2.244546423066248,1.8640627434691726,16.52111463574352,27.728406988834223,-1.0,2.745869518397291,0.22913241985391178,Shower,48530.402,-0.014668682
95,57722.64562516,4.9116635,0.46236926,1.4787542028486207,-1.8326208357285592,2.3334247433578343,121.1846401743123,61.81399907575375,-0.8305003894840247,0.09078589356577076,-0.026997229777105926,Shower,261229.53,-0.015333884
96,57748.56217814,1.3864836,-0.78670603,2.3575023589217556,1.3864835789229313,1.654138476562636,37.094805167177185,12.561590633060062,0.014893419462191018,0.0,0.0,Shower,167028.28,-0.017671824
97,57782.26381292,0.9355083,-0.38696697,1.9577632888942968,0.9355083140123291,1.7640804564218624,209.95795537770496,7.888191925334267,1.0,0.0,0.0,Track,41262.31,-0.64560705
98,57816.13604757,2.3076406,-0.75662094,2.3274172577451715,2.307640452692549,2.4153926739604312,89.06681221194067,12.755952081871277,1.0,0.0,0.0,Shower,236634.44,-0.029571323
99,57824.57615551,5.3296924,-0.46642047,2.0372168044670587,-0.9534930192649057,1.6706392896207303,20939.487893215075,4315.2388319307975,1.0,0.0,0.0,Track,57284.254,-5.899629
100,57835.25102068,4.15847,-0.6450996,2.3592688632282073,-2.246760155436325,1.2637712795584268,641.2757766448944,306.3935735490609,-1.0,0.010000000000001442,1.2660787772301876,Shower,82136.3,-0.046749927
101,57859.75477449,0.37921938,-0.106179796,3.1399336234733695,3.019611912423628,2.7058135729184265,3.71287766630651,16.920865821132537,-0.8927375708431285,0.22486090906258607,2.78818472873501,Shower,43450.32,-0.015748488
