log10(E/GeV),Zenith[deg],direction
4.9,40.65,down-going
4.76,23.119,down-going
2.81,129.662,up-going
2.7,164.726,up-going
2.9,99.783,up-going
4.94,69.981,down-going
4.39,72.186,down-going
4.95,61.821,down-going
2.92,108.77,up-going
2.93,113.931,up-going
4.93,53.109,down-going
2.86,92.482,up-going
2.91,97.601,up-going
2.84,152.621,up-going
2.95,152.708,up-going
3.07,137.83,up-going
3.53,103.516,up-going
4.87,58.528,down-going
2.82,86.855,down-going
3.04,124.031,up-going
2.96,87.909,down-going
5.28,50.131,down-going
2.91,88.587,down-going
4.76,52.826,down-going
4.92,42.297,down-going
3.01,97.44,up-going
3.03,107.978,up-going
2.79,115.949,up-going
2.93,114.127,up-going
2.83,159.091,up-going
3.21,122.872,up-going
3.12,103.746,up-going
5.48,58.248,down-going
3.32,94.596,up-going
3.16,82.045,down-going
3.54,109.203,up-going
2.83,143.243,up-going
2.94,90.093,up-going
3.04,154.186,up-going
4.76,61.843,down-going
3.1,135.409,up-going
3.1,108.824,up-going
5.05,15.97,down-going
2.94,101.764,up-going
4.48,10.851,down-going
3.14,97.295,up-going
2.96,91.735,up-going
3.14,99.382,up-going
5.05,40.035,down-going
2.41,89.048,down-going
3.02,136.449,up-going
3.02,107.784,up-going
2.97,92.289,up-going
3.18,122.226,up-going
2.88,136.551,up-going
5.02,52.509,down-going
2.84,138.116,up-going
5.02,58.691,down-going
5.63,44.345,down-going
5.03,57.299,down-going
3.1,113.21,up-going
3.08,101.381,up-going
5.25,37.232,down-going
3.09,94.908,up-going
5.11,60.358,down-going
3.73,81.797,down-going
2.92,97.065,up-going
2.8,104.468,up-going
2.71,159.107,up-going
5.61,42.967,down-going
3.1,84.862,down-going
2.88,115.287,up-going
2.86,105.506,up-going
2.95,98.585,up-going
3.32,156.333,up-going
2.74,100.848,up-going
4.81,36.949,down-going
5.22,48.405,down-going
4.94,69.605,down-going
2.94,89.041,down-going
4.81,16.447,down-going
5.12,39.726,down-going
4.71,38.215,down-going
2.78,115.096,up-going
3.01,134.118,up-going
3.0,144.822,up-going
2.88,87.29,down-going
3.36,92.981,up-going
4.98,31.338,down-going
2.86,123.348,up-going
2.81,103.974,up-going
2.98,108.122,up-going
3.03,107.068,up-going
3.07,94.848,up-going
4.83,48.289,down-going
3.07,148.168,up-going
2.74,146.602,up-going
3.12,93.484,up-going
3.0,111.399,up-going
5.29,47.586,down-going
5.41,58.933,down-going
3.34,109.337,up-going
3.3,87.294,down-going
3.22,92.142,up-going
5.58,55.352,down-going
2.79,98.157,up-going
3.2,125.594,up-going
3.21,109.795,up-going
5.12,47.21,down-going
3.01,98.853,up-going
2.93,107.488,up-going
3.01,104.314,up-going
4.56,52.178,down-going
5.03,29.651,down-going
3.0,114.777,up-going
2.77,91.616,up-going
2.86,164.834,up-going
2.97,104.644,up-going
3.02,125.468,up-going
5.31,65.215,down-going
3.05,89.322,down-going
2.91,99.433,up-going
3.05,111.212,up-going
2.45,103.27,up-going
2.72,155.237,up-going
5.45,68.742,down-going
3.03,97.888,up-going
3.19,129.36,up-going
2.96,155.765,up-going
4.88,51.895,down-going
4.87,17.776,down-going
5.02,29.376,down-going
3.13,82.083,down-going
3.14,156.316,up-going
5.45,40.425,down-going
5.12,56.351,down-going
3.03,155.036,up-going
5.23,52.134,down-going
3.15,110.153,up-going
3.09,94.535,up-going
2.83,125.667,up-going
4.97,33.534,down-going
4.94,69.032,down-going
2.8,157.854,up-going
5.0,17.136,down-going
3.31,135.363,up-going
2.9,90.263,up-going
2.75,104.207,up-going
2.96,95.043,up-going
4.88,62.666,down-going
2.68,121.29,up-going
2.95,100.228,up-going
2.82,84.617,down-going
2.81,99.025,up-going
2.83,163.459,up-going
5.23,43.569,down-going
2.54,169.08,up-going
3.0,95.703,up-going
3.18,116.739,up-going
3.05,113.819,up-going
4.68,25.864,down-going
4.92,29.06,down-going
3.29,88.708,down-going
3.11,156.055,up-going
3.03,99.71,up-going
4.62,70.786,down-going
3.67,161.188,up-going
4.35,64.265,down-going
2.98,154.636,up-going
4.9,45.735,down-going
3.01,89.309,down-going
4.55,65.813,down-going
2.93,114.511,up-going
4.99,42.194,down-going
3.04,92.768,up-going
3.61,83.894,down-going
2.86,93.85,up-going
2.87,89.405,down-going
4.83,46.214,down-going
2.81,121.835,up-going
5.07,28.402,down-going
2.95,119.714,up-going
3.01,94.985,up-going
3.08,112.296,up-going
2.77,151.494,up-going
3.31,84.042,down-going
2.87,87.99,down-going
2.88,84.589,down-going
3.15,86.838,down-going
4.9,42.966,down-going
2.54,168.316,up-going
2.94,143.932,up-going
4.09,73.507,down-going
5.02,34.462,down-going
2.82,118.399,up-going
5.14,42.642,down-going
2.97,89.38,down-going
5.22,57.171,down-going
2.92,112.326,up-going
2.92,107.959,up-going
3.11,100.006,up-going
3.23,106.059,up-going
2.82,145.277,up-going
2.8,115.971,up-going
4.79,69.191,down-going
2.81,123.979,up-going
2.84,109.363,up-going
3.17,116.457,up-going
3.04,94.065,up-going
4.28,91.701,up-going
4.61,50.724,down-going
2.77,114.158,up-going
3.04,103.022,up-going
2.8,108.067,up-going
2.82,95.178,up-going
2.88,92.858,up-going
4.81,17.004,down-going
3.1,130.949,up-going
3.74,88.728,down-going
2.59,158.653,up-going
4.72,42.028,down-going
5.55,43.072,down-going
3.07,89.919,down-going
3.55,100.108,up-going
2.77,107.52,up-going
3.29,101.206,up-going
3.1,162.784,up-going
2.83,86.759,down-going
2.88,100.939,up-going
3.03,146.578,up-going
3.0,88.968,down-going
5.24,24.307,down-going
3.17,99.63,up-going
2.84,125.812,up-going
2.97,95.569,up-going
2.98,119.549,up-going
2.76,121.915,up-going
3.25,86.958,down-going
2.99,93.36,up-going
5.05,33.964,down-going
5.37,40.522,down-going
5.19,58.074,down-going
3.08,89.543,down-going
2.79,158.726,up-going
2.96,106.658,up-going
2.93,131.837,up-going
4.3,73.241,down-going
5.59,25.415,down-going
5.23,38.304,down-going
3.1,102.169,up-going
4.41,74.082,down-going
3.03,88.765,down-going
2.81,104.863,up-going
2.81,95.421,up-going
2.83,106.141,up-going
2.91,155.948,up-going
3.04,107.901,up-going
2.93,105.049,up-going
4.9,61.074,down-going
3.01,131.763,up-going
4.72,29.435,down-going
3.05,88.472,down-going
4.99,55.12,down-going
5.27,30.611,down-going
3.12,91.909,up-going
2.92,101.082,up-going
2.81,101.596,up-going
3.07,87.597,down-going
3.15,90.144,up-going
2.87,89.546,down-going
4.88,15.803,down-going
2.97,119.692,up-going
2.71,174.656,up-going
3.33,128.169,up-going
4.71,41.021,down-going
2.95,120.062,up-going
2.86,151.557,up-going
5.2,43.654,down-going
4.93,62.278,down-going
2.97,100.545,up-going
4.99,32.426,down-going
2.95,87.964,down-going
2.9,96.678,up-going
5.51,57.847,down-going
5.0,61.259,down-going
4.55,55.131,down-going
3.04,125.203,up-going
2.99,114.033,up-going
2.93,100.919,up-going
3.19,113.07,up-going
2.99,101.524,up-going
2.69,129.229,up-going
4.73,62.474,down-going
4.8,30.02,down-going
3.02,89.257,down-going
3.53,96.896,up-going
2.93,135.302,up-going
2.96,100.698,up-going
3.31,84.985,down-going
3.06,138.17,up-going
3.23,120.382,up-going
3.33,98.378,up-going
3.02,131.536,up-going
2.98,90.461,up-going
3.08,102.861,up-going
4.96,63.052,down-going
2.57,128.777,up-going
3.09,124.177,up-going
3.01,118.997,up-going
2.73,128.102,up-going
2.91,90.656,up-going
3.6,96.554,up-going
2.89,98.283,up-going
4.7,71.575,down-going
4.83,38.272,down-going
2.89,98.576,up-going
5.37,16.936,down-going
2.86,89.021,down-going
2.87,143.674,up-going
2.98,96.182,up-going
2.99,105.822,up-going
3.52,88.143,down-going
4.96,60.724,down-going
2.88,105.773,up-going
2.88,133.462,up-going
5.51,58.954,down-going
4.8,60.897,down-going
3.18,119.331,up-going
3.03,160.18,up-going
3.07,87.979,down-going
4.68,56.18,down-going
3.37,118.992,up-going
3.12,125.871,up-going
4.75,45.088,down-going
2.45,148.247,up-going
5.42,28.64,down-going
2.95,103.948,up-going
3.96,78.496,down-going
2.94,94.274,up-going
2.81,134.205,up-going
4.7,65.178,down-going
3.12,114.645,up-going
4.7,62.559,down-going
5.36,52.595,down-going
2.97,119.961,up-going
5.34,24.805,down-going
2.89,143.223,up-going
3.01,137.533,up-going
5.05,72.278,down-going
2.74,128.22,up-going
2.81,105.552,up-going
2.9,96.54,up-going
4.57,77.988,down-going
2.87,98.569,up-going
2.57,135.798,up-going
2.78,99.03,up-going
5.75,41.816,down-going
2.8,140.139,up-going
4.04,78.602,down-going
2.68,172.499,up-going
2.88,97.127,up-going
3.02,104.665,up-going
4.36,69.38,down-going
5.03,23.068,down-going
3.94,77.947,down-going
4.56,69.738,down-going
4.59,19.384,down-going
3.62,90.58,up-going
4.16,60.935,down-going
3.35,132.077,up-going
4.43,76.038,down-going
2.91,99.882,up-going
2.98,91.919,up-going
2.78,130.272,up-going
4.63,71.703,down-going
4.76,16.71,down-going
2.63,101.234,up-going
2.84,95.341,up-going
3.08,137.009,up-going
4.12,89.817,down-going
4.0,81.612,down-going
2.76,115.193,up-going
2.77,135.705,up-going
5.07,24.001,down-going
5.37,30.49,down-going
4.99,30.971,down-going
4.28,74.776,down-going
4.9,55.539,down-going
4.56,69.463,down-going
3.13,85.518,down-going
3.1,90.781,up-going
4.99,28.878,down-going
4.8,56.248,down-going
4.95,35.336,down-going
4.92,31.888,down-going
5.07,58.58,down-going
3.09,84.381,down-going
4.83,71.785,down-going
3.61,78.53,down-going
3.12,113.183,up-going
2.83,148.844,up-going
3.31,145.549,up-going
5.21,39.391,down-going
3.1,118.652,up-going
2.89,99.703,up-going
2.95,107.526,up-going
2.86,100.027,up-going
3.51,93.817,up-going
3.63,82.059,down-going
3.01,128.474,up-going
2.95,134.093,up-going
2.85,96.681,up-going
2.82,116.88,up-going
2.95,95.141,up-going
2.92,89.623,down-going
2.99,102.13,up-going
5.48,46.307,down-going
3.58,85.97,down-going
2.83,94.147,up-going
4.66,13.604,down-going
4.71,64.005,down-going
2.78,148.093,up-going
2.9,94.465,up-going
2.95,113.374,up-going
4.68,27.677,down-going
2.91,158.836,up-going
2.87,89.176,down-going
2.86,123.232,up-going
2.87,88.722,down-going
2.78,175.018,up-going
3.31,83.442,down-going
3.29,96.723,up-going
5.77,44.142,down-going
2.99,108.595,up-going
3.49,107.598,up-going
2.98,119.77,up-going
3.18,114.934,up-going
2.81,143.966,up-going
4.92,62.106,down-going
3.14,103.963,up-going
2.96,97.24,up-going
4.56,70.897,down-going
3.72,81.038,down-going
2.82,130.755,up-going
2.87,158.55,up-going
4.59,63.073,down-going
3.58,100.847,up-going
2.67,88.157,down-going
4.41,73.117,down-going
3.08,139.455,up-going
2.96,143.491,up-going
5.25,41.916,down-going
4.31,75.21,down-going
2.82,124.141,up-going
2.78,90.46,up-going
4.05,76.718,down-going
4.35,71.317,down-going
3.16,147.396,up-going
3.34,106.825,up-going
3.96,79.953,down-going
2.87,132.002,up-going
2.8,129.008,up-going
3.36,90.017,up-going
4.85,62.978,down-going
3.07,90.361,up-going
3.21,87.686,down-going
3.04,140.524,up-going
5.46,49.921,down-going
5.57,4.627,down-going
3.25,94.28,up-going
2.95,100.49,up-going
3.06,129.522,up-going
5.35,51.587,down-going
2.84,90.719,up-going
3.2,100.685,up-going
2.92,131.977,up-going
3.02,134.595,up-going
5.17,55.048,down-going
4.75,15.466,down-going
3.46,91.116,up-going
3.07,138.651,up-going
2.85,146.826,up-going
3.73,83.359,down-going
2.76,129.838,up-going
2.89,89.976,down-going
2.96,146.338,up-going
4.7,15.026,down-going
