log10(E/GeV),Zenith[deg],direction
5.73,43.212,down-going
2.88,103.011,up-going
5.34,24.297,down-going
3.25,103.747,up-going
2.79,124.955,up-going
4.89,23.614,down-going
5.09,36.004,down-going
1.74,100.187,up-going
4.46,60.949,down-going
2.81,130.036,up-going
3.3,115.777,up-going
3.78,93.71,up-going
3.08,96.566,up-going
3.25,146.428,up-going
4.92,49.907,down-going
4.45,17.527,down-going
5.23,40.856,down-going
3.62,77.665,down-going
3.02,131.382,up-going
2.87,98.916,up-going
2.97,85.17,down-going
3.06,94.278,up-going
5.22,36.29,down-going
2.99,93.058,up-going
2.94,120.145,up-going
2.8,145.905,up-going
3.02,95.669,up-going
3.05,123.046,up-going
3.12,106.924,up-going
3.8,84.513,down-going
4.19,75.579,down-going
2.88,141.168,up-going
3.12,168.13,up-going
2.84,110.807,up-going
3.07,88.198,down-going
2.98,130.997,up-going
3.22,122.938,up-going
2.69,143.618,up-going
5.14,40.917,down-going
4.57,67.561,down-going
3.0,132.604,up-going
2.72,100.972,up-going
3.35,98.494,up-going
5.35,42.833,down-going
4.44,70.368,down-going
3.13,149.359,up-going
3.05,107.157,up-going
4.74,65.223,down-going
2.8,95.929,up-going
3.15,133.698,up-going
2.76,157.015,up-going
3.02,109.329,up-going
5.3,58.087,down-going
4.92,36.604,down-going
2.89,123.019,up-going
3.12,144.626,up-going
3.88,80.257,down-going
2.73,148.922,up-going
2.95,90.27,up-going
2.94,129.749,up-going
5.41,61.722,down-going
3.4,86.506,down-going
2.99,146.611,up-going
5.06,23.421,down-going
2.94,96.399,up-going
3.17,156.253,up-going
5.33,29.801,down-going
4.87,64.148,down-going
5.09,52.744,down-going
2.94,92.649,up-going
4.96,64.627,down-going
2.86,138.29,up-going
3.11,103.814,up-going
2.99,91.474,up-going
2.83,142.337,up-going
2.71,147.164,up-going
4.83,69.094,down-going
3.45,92.221,up-going
3.2,86.733,down-going
4.79,65.007,down-going
2.64,153.871,up-going
5.01,22.978,down-going
3.11,119.195,up-going
3.21,90.93,up-going
3.0,94.408,up-going
3.05,84.009,down-going
3.12,93.923,up-going
2.63,117.411,up-going
4.96,61.658,down-going
3.39,98.439,up-going
3.29,112.659,up-going
4.93,24.676,down-going
5.35,37.479,down-going
5.82,30.811,down-going
2.87,117.925,up-going
3.14,91.017,up-going
2.92,128.165,up-going
4.6,56.426,down-going
2.95,117.629,up-going
4.94,55.457,down-going
2.88,111.341,up-going
3.01,119.755,up-going
2.85,133.337,up-going
4.88,63.368,down-going
3.17,89.943,down-going
3.02,93.033,up-going
2.98,115.456,up-going
3.08,103.925,up-going
2.81,121.311,up-going
2.43,95.874,up-going
2.99,108.616,up-going
2.7,110.469,up-going
2.94,96.274,up-going
2.92,93.985,up-going
3.12,139.403,up-going
3.73,82.35,down-going
4.98,34.824,down-going
3.07,126.722,up-going
5.24,38.938,down-going
3.11,106.591,up-going
4.54,64.179,down-going
4.72,67.774,down-going
3.37,87.615,down-going
2.91,106.916,up-going
3.07,99.685,up-going
2.98,95.294,up-going
3.23,88.581,down-going
3.26,91.964,up-going
3.08,134.106,up-going
3.05,87.597,down-going
4.25,76.694,down-going
4.69,33.118,down-going
2.86,149.192,up-going
3.52,78.865,down-going
3.18,117.127,up-going
4.68,6.876,down-going
5.05,66.131,down-going
5.22,35.544,down-going
2.73,96.191,up-going
3.0,135.299,up-going
2.88,91.579,up-going
4.72,63.011,down-going
5.25,61.7,down-going
4.55,70.803,down-going
2.92,91.853,up-going
2.82,154.072,up-going
2.99,98.992,up-going
2.67,95.916,up-going
2.37,106.7,up-going
2.77,140.577,up-going
2.98,100.044,up-going
2.95,98.02,up-going
5.48,37.495,down-going
5.14,42.725,down-going
2.94,133.36,up-going
3.05,105.612,up-going
3.14,98.377,up-going
2.83,85.337,down-going
2.78,108.297,up-going
2.96,90.18,up-going
5.04,43.061,down-going
3.06,110.516,up-going
4.8,18.574,down-going
3.23,95.087,up-going
2.91,99.587,up-going
3.19,94.324,up-going
5.55,48.244,down-going
4.71,53.356,down-going
3.03,152.567,up-going
5.24,27.529,down-going
2.9,159.543,up-going
2.84,100.863,up-going
2.97,90.629,up-going
3.02,97.471,up-going
2.88,93.725,up-going
5.23,51.586,down-going
4.64,43.195,down-going
4.74,48.876,down-going
3.15,119.205,up-going
2.94,93.197,up-going
3.15,90.438,up-going
4.32,34.218,down-going
3.59,100.26,up-going
2.94,105.731,up-going
2.99,164.482,up-going
3.11,128.05,up-going
3.14,141.173,up-going
3.16,83.235,down-going
5.98,34.437,down-going
2.91,102.788,up-going
4.4,61.1,down-going
2.66,132.703,up-going
4.63,62.885,down-going
3.3,100.245,up-going
2.82,159.995,up-going
2.97,93.965,up-going
2.86,103.475,up-going
5.0,62.124,down-going
2.95,97.183,up-going
4.94,59.437,down-going
2.7,97.909,up-going
3.57,84.492,down-going
5.55,41.697,down-going
3.05,121.3,up-going
3.01,128.612,up-going
4.73,62.853,down-going
3.33,99.235,up-going
3.17,93.908,up-going
2.78,171.46,up-going
3.03,134.215,up-going
2.96,86.544,down-going
3.19,88.959,down-going
3.07,135.792,up-going
5.04,65.332,down-going
3.65,81.461,down-going
5.49,36.29,down-going
2.91,103.069,up-going
2.66,85.449,down-going
2.9,160.509,up-going
3.13,108.744,up-going
2.86,94.042,up-going
2.85,88.37,down-going
3.35,150.596,up-going
2.76,92.984,up-going
2.88,114.366,up-going
2.91,95.554,up-going
3.31,140.294,up-going
3.53,83.658,down-going
2.88,98.996,up-going
2.86,154.304,up-going
3.25,126.643,up-going
3.04,167.29,up-going
3.16,126.507,up-going
5.02,41.879,down-going
2.91,130.25,up-going
5.32,20.487,down-going
4.84,65.935,down-going
2.94,127.701,up-going
2.73,139.579,up-going
2.96,109.812,up-going
3.02,126.277,up-going
2.91,127.018,up-going
2.93,142.416,up-going
2.82,156.694,up-going
4.71,68.391,down-going
3.09,91.191,up-going
3.17,106.566,up-going
2.81,119.03,up-going
4.4,70.847,down-going
3.04,95.5,up-going
2.75,100.871,up-going
2.72,119.615,up-going
5.08,59.086,down-going
3.19,110.458,up-going
4.94,29.369,down-going
3.27,110.151,up-going
3.75,82.364,down-going
2.87,84.177,down-going
2.85,105.733,up-going
3.11,139.974,up-going
5.13,53.807,down-going
2.66,91.931,up-going
5.03,36.267,down-going
2.79,108.777,up-going
2.68,87.301,down-going
5.17,36.297,down-going
4.67,42.311,down-going
2.96,148.744,up-going
2.7,115.434,up-going
2.99,136.926,up-going
3.27,120.201,up-going
5.11,58.901,down-going
2.92,135.245,up-going
2.75,165.206,up-going
2.88,140.607,up-going
4.47,76.916,down-going
4.83,74.974,down-going
2.99,129.198,up-going
2.53,134.37,up-going
2.93,150.39,up-going
4.94,57.914,down-going
5.04,37.096,down-going
2.89,98.808,up-going
2.91,158.43,up-going
5.03,68.501,down-going
2.71,123.468,up-going
3.37,92.009,up-going
2.96,130.615,up-going
3.99,81.6,down-going
2.81,103.213,up-going
4.76,25.895,down-going
5.4,55.715,down-going
3.09,86.952,down-going
4.92,71.287,down-going
3.36,108.051,up-going
5.42,54.903,down-going
1.96,115.753,up-going
4.85,52.686,down-going
2.83,88.736,down-going
5.07,42.172,down-going
3.6,106.021,up-going
4.84,61.747,down-going
3.12,102.823,up-going
1.37,122.365,up-going
3.12,103.053,up-going
3.23,88.505,down-going
2.95,94.457,up-going
4.83,60.63,down-going
3.01,91.262,up-going
4.06,80.738,down-going
2.7,94.629,up-going
4.69,32.52,down-going
3.03,121.35,up-going
3.87,81.943,down-going
3.06,106.363,up-going
4.54,56.491,down-going
5.07,39.205,down-going
4.83,24.176,down-going
4.99,19.809,down-going
2.95,103.332,up-going
4.61,29.163,down-going
4.73,34.902,down-going
4.34,41.484,down-going
2.95,94.558,up-going
5.05,50.575,down-going
3.69,128.535,up-going
2.95,111.26,up-going
2.97,116.919,up-going
5.29,63.129,down-going
5.15,47.36,down-going
2.94,142.397,up-going
4.49,76.265,down-going
3.36,115.883,up-going
3.75,82.662,down-going
3.18,114.273,up-going
2.56,154.298,up-going
4.43,60.793,down-going
2.93,109.771,up-going
2.92,122.726,up-going
2.98,106.098,up-going
2.64,95.825,up-going
4.71,16.582,down-going
2.78,121.591,up-going
2.98,137.605,up-going
3.08,85.994,down-going
2.88,117.984,up-going
3.18,93.888,up-going
3.03,119.521,up-going
2.91,99.151,up-going
3.01,121.206,up-going
5.08,54.863,down-going
4.62,55.287,down-going
2.97,100.425,up-going
4.35,78.096,down-going
2.91,140.721,up-going
2.82,111.319,up-going
3.08,126.579,up-going
2.76,120.03,up-going
2.97,156.632,up-going
4.95,15.441,down-going
2.79,142.796,up-going
3.29,83.136,down-going
2.76,122.919,up-going
4.55,52.626,down-going
4.15,8.97,down-going
6.34,36.79,down-going
4.45,81.048,down-going
2.84,122.903,up-going
2.99,98.811,up-going
3.36,118.741,up-going
3.01,98.715,up-going
2.88,95.239,up-going
2.56,84.647,down-going
4.71,60.411,down-going
4.56,27.535,down-going
2.7,137.467,up-going
3.16,129.894,up-going
2.85,106.049,up-going
3.05,118.68,up-going
3.21,96.108,up-going
3.05,98.213,up-going
4.83,66.251,down-going
2.89,103.923,up-going
2.94,118.226,up-going
2.97,148.485,up-going
5.49,30.169,down-going
2.98,129.878,up-going
2.93,125.494,up-going
2.72,150.282,up-going
3.56,131.162,up-going
3.34,93.267,up-going
2.8,92.587,up-going
2.7,93.271,up-going
4.56,72.699,down-going
5.77,39.925,down-going
2.96,113.018,up-going
2.85,137.105,up-going
4.75,57.594,down-going
2.63,97.17,up-going
3.45,96.858,up-going
5.03,35.803,down-going
5.3,28.898,down-going
2.75,121.632,up-going
2.89,84.559,down-going
4.73,66.646,down-going
3.03,162.657,up-going
2.92,130.752,up-going
4.88,59.783,down-going
5.05,49.66,down-going
2.83,109.67,up-going
3.29,136.134,up-going
3.4,93.553,up-going
3.12,95.583,up-going
3.37,150.032,up-going
3.12,124.835,up-going
2.87,90.179,up-going
4.65,23.462,down-going
4.68,67.789,down-going
2.88,107.58,up-going
3.5,124.286,up-going
2.99,115.094,up-going
2.73,92.815,up-going
2.85,92.369,up-going
2.83,106.871,up-going
2.81,97.253,up-going
3.11,121.097,up-going
3.07,101.273,up-going
3.1,91.251,up-going
3.28,114.334,up-going
2.93,102.343,up-going
2.61,158.781,up-going
3.18,94.296,up-going
5.29,49.793,down-going
5.36,66.218,down-going
3.01,111.962,up-going
2.93,158.81,up-going
3.11,127.431,up-going
4.89,59.253,down-going
3.15,89.287,down-going
3.1,92.147,up-going
3.13,120.32,up-going
2.85,91.301,up-going
2.93,89.865,down-going
2.83,98.029,up-going
3.84,92.779,up-going
5.71,27.287,down-going
2.97,108.145,up-going
2.86,97.105,up-going
3.21,97.328,up-going
2.98,107.285,up-going
3.2,112.639,up-going
3.08,92.16,up-going
2.85,95.68,up-going
2.66,138.524,up-going
2.95,86.82,down-going
3.01,101.526,up-going
2.5,109.504,up-going
3.19,108.156,up-going
4.98,46.907,down-going
5.57,50.432,down-going
4.73,71.356,down-going
2.91,133.498,up-going
3.04,90.998,up-going
4.96,50.665,down-going
2.95,141.319,up-going
3.05,145.673,up-going
3.27,95.796,up-going
2.8,127.383,up-going
5.44,43.487,down-going
5.53,28.158,down-going
3.04,109.176,up-going
5.3,24.313,down-going
3.04,96.26,up-going
2.89,125.226,up-going
2.84,109.608,up-going
2.96,138.82,up-going
5.25,57.443,down-going
3.35,96.607,up-going
2.75,137.13,up-going
3.06,119.057,up-going
2.8,140.382,up-going
5.01,57.584,down-going
4.14,79.77,down-going
2.84,101.821,up-going
2.93,151.285,up-going
3.27,94.68,up-going
3.24,91.882,up-going
3.02,92.815,up-going
2.97,145.908,up-going
2.7,142.291,up-going
2.98,95.573,up-going
5.28,61.698,down-going
5.37,38.812,down-going
3.22,131.095,up-going
3.14,108.276,up-going
3.59,121.68,up-going
2.83,95.093,up-going
5.49,48.328,down-going
4.06,76.333,down-going
5.9,49.609,down-going
3.05,88.593,down-going
4.53,69.275,down-going
2.93,126.305,up-going
2.89,146.831,up-going
2.85,113.567,up-going
5.08,31.932,down-going
2.44,107.36,up-going
3.36,110.605,up-going
3.22,122.05,up-going
2.94,84.58,down-going
2.99,103.822,up-going
2.94,114.312,up-going
3.21,111.653,up-going
5.23,58.595,down-going
3.1,93.9,up-going
3.71,80.851,down-going
2.93,92.236,up-going
2.67,135.302,up-going
2.83,108.571,up-going
5.07,57.337,down-going
3.11,121.511,up-going
4.39,78.534,down-going
5.06,67.094,down-going
2.59,121.095,up-going
3.37,84.757,down-going
2.95,130.844,up-going
4.62,33.645,down-going
5.71,50.714,down-going
3.02,98.154,up-going
3.71,103.865,up-going
3.02,117.353,up-going
4.59,51.853,down-going
4.77,22.406,down-going
3.22,117.183,up-going
4.57,72.878,down-going
2.86,163.364,up-going
2.79,89.366,down-going
2.8,114.784,up-going
3.25,135.62,up-going
3.45,83.966,down-going
4.3,52.481,down-going
3.22,137.903,up-going
3.15,93.283,up-going
3.12,84.73,down-going
2.75,104.873,up-going
3.38,90.435,up-going
3.01,109.258,up-going
2.91,120.729,up-going
5.62,51.122,down-going
3.22,104.318,up-going
2.68,154.948,up-going
2.86,103.541,up-going
2.81,101.996,up-going
2.85,94.579,up-going
2.81,174.328,up-going
3.01,95.403,up-going
2.88,119.955,up-going
3.08,85.519,down-going
4.11,76.525,down-going
3.0,139.482,up-going
3.07,166.185,up-going
2.91,135.026,up-going
2.85,97.765,up-going
2.97,133.329,up-going
3.0,141.421,up-going
5.38,35.224,down-going
2.96,94.4,up-going
2.94,104.02,up-going
3.0,108.628,up-going
2.93,116.503,up-going
2.93,111.724,up-going
5.03,52.98,down-going
2.84,102.609,up-going
2.99,138.803,up-going
2.9,90.716,up-going
5.31,58.29,down-going
3.71,80.215,down-going
3.31,101.246,up-going
4.82,65.662,down-going
5.22,25.526,down-going
3.65,111.194,up-going
2.81,115.612,up-going
4.13,77.79,down-going
3.26,96.753,up-going
4.45,81.255,down-going
2.82,113.298,up-going
2.91,87.786,down-going
3.51,90.727,up-going
3.04,106.809,up-going
5.04,27.142,down-going
3.12,110.889,up-going
5.07,66.559,down-going
2.95,113.119,up-going
4.83,66.857,down-going
4.73,72.719,down-going
4.84,53.066,down-going
2.77,166.177,up-going
3.17,120.261,up-going
2.85,129.704,up-going
3.06,97.728,up-going
3.07,94.408,up-going
3.31,100.737,up-going
5.51,19.851,down-going
2.95,120.876,up-going
2.72,154.011,up-going
5.35,48.076,down-going
5.07,56.928,down-going
2.94,126.738,up-going
5.53,56.178,down-going
2.97,94.489,up-going
2.88,95.734,up-going
2.84,110.231,up-going
2.88,119.704,up-going
4.01,74.901,down-going
4.79,45.395,down-going
3.07,141.221,up-going
3.38,116.324,up-going
3.29,89.487,down-going
2.98,99.117,up-going
3.1,93.307,up-going
3.09,111.405,up-going
2.95,115.422,up-going
3.42,155.205,up-going
2.96,83.975,down-going
4.71,32.09,down-going
2.45,153.9,up-going
4.72,54.912,down-going
3.14,103.735,up-going
4.83,20.012,down-going
3.11,134.105,up-going
3.44,113.299,up-going
2.81,113.891,up-going
2.89,104.134,up-going
5.06,35.143,down-going
4.79,26.488,down-going
3.17,146.842,up-going
4.85,4.859,down-going
5.3,24.652,down-going
4.74,53.293,down-going
3.2,94.266,up-going
3.02,95.923,up-going
3.2,86.606,down-going
2.79,94.729,up-going
2.85,85.733,down-going
5.15,13.704,down-going
2.97,94.665,up-going
2.94,146.812,up-going
2.87,90.659,up-going
2.73,92.666,up-going
2.91,91.696,up-going
2.87,119.536,up-going
5.92,56.711,down-going
2.88,118.499,up-going
4.48,69.97,down-going
5.18,36.044,down-going
5.11,30.571,down-going
2.88,152.413,up-going
3.19,146.24,up-going
3.86,83.842,down-going
5.35,46.819,down-going
3.17,94.889,up-going
2.83,91.067,up-going
3.01,86.634,down-going
4.94,8.913,down-going
3.03,110.962,up-going
2.76,164.988,up-going
4.7,8.781,down-going
3.16,110.542,up-going
3.07,147.964,up-going
2.99,116.489,up-going
5.95,41.348,down-going
2.89,136.293,up-going
2.87,103.384,up-going
2.92,143.739,up-going
3.45,150.802,up-going
2.64,107.689,up-going
3.36,96.83,up-going
3.06,121.617,up-going
2.67,158.454,up-going
5.65,50.572,down-going
5.08,54.246,down-going
2.48,165.534,up-going
4.89,37.899,down-going
3.33,101.955,up-going
5.14,20.884,down-going
3.14,108.47,up-going
3.36,88.961,down-going
2.99,119.375,up-going
3.17,91.008,up-going
4.29,75.937,down-going
2.91,93.453,up-going
2.74,129.066,up-going
4.83,34.288,down-going
2.84,92.395,up-going
3.07,142.354,up-going
3.01,98.564,up-going
3.03,135.726,up-going
2.77,116.61,up-going
3.17,156.208,up-going
5.1,26.203,down-going
3.3,99.146,up-going
3.18,147.356,up-going
2.84,92.051,up-going
3.14,130.688,up-going
2.94,145.423,up-going
1.93,101.143,up-going
2.96,155.919,up-going
4.94,68.629,down-going
2.89,146.949,up-going
4.74,66.352,down-going
3.13,124.607,up-going
2.76,97.131,up-going
2.65,93.545,up-going
3.02,95.784,up-going
2.93,113.55,up-going
3.24,96.961,up-going
4.18,80.414,down-going
2.99,166.22,up-going
3.3,132.282,up-going
5.29,34.958,down-going
3.37,90.354,up-going
4.85,59.742,down-going
3.01,105.531,up-going
2.74,129.794,up-going
5.09,22.925,down-going
3.06,155.871,up-going
4.95,19.023,down-going
2.86,125.677,up-going
4.7,20.819,down-going
3.06,134.231,up-going
3.09,107.554,up-going
4.73,6.989,down-going
2.94,91.025,up-going
3.43,151.455,up-going
3.11,115.944,up-going
3.05,129.345,up-going
3.1,125.217,up-going
2.97,150.545,up-going
2.86,122.542,up-going
4.06,72.213,down-going
3.06,87.024,down-going
3.25,124.989,up-going
5.5,55.065,down-going
3.0,141.828,up-going
2.7,96.377,up-going
3.04,100.606,up-going
4.9,61.52,down-going
3.09,156.023,up-going
3.0,90.957,up-going
3.36,86.804,down-going
4.67,30.933,down-going
3.27,83.088,down-going
2.69,132.617,up-going
3.13,105.766,up-going
4.82,9.233,down-going
3.17,146.416,up-going
4.91,56.926,down-going
3.04,104.361,up-going
3.01,108.051,up-going
2.91,131.228,up-going
4.89,53.359,down-going
2.9,108.852,up-going
5.05,52.431,down-going
5.76,31.574,down-going
2.85,112.679,up-going
2.71,96.615,up-going
5.29,25.41,down-going
3.1,107.754,up-going
3.09,87.405,down-going
4.42,9.781,down-going
2.76,91.76,up-going
3.02,150.779,up-going
2.74,90.776,up-going
3.0,114.631,up-going
2.87,108.067,up-going
3.02,126.082,up-going
2.87,95.698,up-going
3.07,91.792,up-going
2.83,152.813,up-going
2.98,148.711,up-going
3.1,140.034,up-going
5.19,37.121,down-going
2.91,136.492,up-going
4.39,39.977,down-going
3.09,162.073,up-going
4.08,79.475,down-going
3.36,83.35,down-going
3.06,98.589,up-going
3.1,96.093,up-going
2.99,151.321,up-going
3.37,147.98,up-going
4.72,11.631,down-going
2.97,93.904,up-going
2.88,145.284,up-going
3.2,113.023,up-going
3.25,114.8,up-going
3.05,94.839,up-going
4.84,54.988,down-going
5.4,51.034,down-going
4.93,21.084,down-going
2.89,106.71,up-going
4.86,68.976,down-going
4.75,75.294,down-going
5.78,53.918,down-going
3.19,95.137,up-going
4.93,43.869,down-going
2.79,100.375,up-going
2.68,95.041,up-going
2.71,92.295,up-going
2.78,91.316,up-going
4.96,45.395,down-going
2.95,97.861,up-going
5.15,36.761,down-going
3.28,146.785,up-going
5.32,20.212,down-going
2.87,152.243,up-going
2.86,138.763,up-going
2.93,99.595,up-going
3.49,97.13,up-going
2.79,160.939,up-going
3.07,169.702,up-going
2.94,156.416,up-going
4.66,71.767,down-going
4.34,73.217,down-going
3.0,109.476,up-going
2.95,126.238,up-going
4.82,61.052,down-going
3.16,95.505,up-going
2.96,128.109,up-going
3.09,89.797,down-going
4.58,69.75,down-going
2.96,128.031,up-going
4.89,60.228,down-going
4.38,82.701,down-going
3.1,124.521,up-going
2.98,94.736,up-going
3.21,107.946,up-going
2.9,145.868,up-going
2.74,129.135,up-going
3.04,110.295,up-going
3.04,95.661,up-going
3.02,156.89,up-going
5.18,21.651,down-going
2.85,93.76,up-going
4.7,59.459,down-going
5.15,66.557,down-going
4.28,80.0,down-going
3.46,80.374,down-going
3.27,85.761,down-going
2.95,146.814,up-going
3.15,94.32,up-going
3.39,105.224,up-going
3.14,120.775,up-going
2.95,118.523,up-going
5.77,36.773,down-going
5.48,38.172,down-going
3.28,81.269,down-going
3.17,100.642,up-going
2.96,101.878,up-going
2.96,100.336,up-going
3.83,79.965,down-going
2.82,106.486,up-going
2.77,89.008,down-going
4.92,59.869,down-going
3.13,97.563,up-going
4.84,41.853,down-going
2.77,96.838,up-going
2.94,95.849,up-going
2.76,154.319,up-going
4.97,58.989,down-going
3.05,100.937,up-going
3.26,124.912,up-going
3.03,125.583,up-going
3.13,100.201,up-going
2.85,89.081,down-going
5.4,66.996,down-going
5.42,58.001,down-going
3.03,123.483,up-going
3.17,127.087,up-going
2.87,104.832,up-going
2.97,109.977,up-going
5.16,63.596,down-going
2.73,87.52,down-going
5.24,49.544,down-going
3.02,144.624,up-going
3.32,109.473,up-going
3.91,88.913,down-going
5.08,63.476,down-going
4.84,71.176,down-going
3.49,137.305,up-going
2.87,103.202,up-going
2.93,95.194,up-going
2.78,125.668,up-going
2.89,154.836,up-going
2.89,92.132,up-going
2.9,120.0,up-going
4.33,74.34,down-going
2.86,162.418,up-going
2.79,90.34,up-going
3.54,90.621,up-going
5.43,32.88,down-going
5.24,40.9,down-going
2.87,117.294,up-going
3.31,90.871,up-going
4.65,72.382,down-going
2.85,114.671,up-going
5.0,66.21,down-going
2.74,118.782,up-going
4.35,73.861,down-going
3.11,91.908,up-going
5.61,48.717,down-going
3.14,165.607,up-going
3.21,148.587,up-going
4.95,21.242,down-going
4.44,33.134,down-going
3.59,81.091,down-going
4.62,73.144,down-going
3.02,93.426,up-going
2.86,118.334,up-going
2.96,165.682,up-going
2.9,91.11,up-going
2.88,107.2,up-going
3.32,100.122,up-going
5.32,20.454,down-going
2.72,160.751,up-going
3.47,91.836,up-going
2.9,114.064,up-going
3.01,121.098,up-going
4.92,44.703,down-going
2.92,122.425,up-going
5.11,59.321,down-going
2.86,96.839,up-going
3.1,108.107,up-going
3.96,71.451,down-going
3.03,93.45,up-going
4.82,38.933,down-going
3.1,106.004,up-going
3.0,150.807,up-going
4.59,72.174,down-going
2.94,108.506,up-going
2.98,125.657,up-going
4.94,64.543,down-going
4.35,47.488,down-going
2.97,121.213,up-going
2.72,148.074,up-going
2.93,121.091,up-going
3.39,158.117,up-going
2.85,152.257,up-going
4.01,76.786,down-going
2.94,116.896,up-going
2.78,109.542,up-going
2.87,110.98,up-going
3.3,100.894,up-going
4.09,73.197,down-going
4.9,29.246,down-going
4.76,70.081,down-going
2.85,107.625,up-going
2.75,99.662,up-going
2.85,142.28,up-going
5.51,52.968,down-going
3.01,89.24,down-going
4.33,13.341,down-going
3.61,175.011,up-going
2.58,115.736,up-going
2.73,155.544,up-going
5.73,60.985,down-going
4.96,33.026,down-going
5.25,18.995,down-going
2.86,122.555,up-going
2.79,110.635,up-going
3.07,104.619,up-going
2.9,108.682,up-going
5.22,17.968,down-going
2.81,154.552,up-going
3.07,145.263,up-going
2.8,113.206,up-going
2.85,118.15,up-going
3.07,98.549,up-going
3.04,100.254,up-going
3.58,95.625,up-going
3.09,107.284,up-going
2.8,132.381,up-going
3.2,89.788,down-going
3.28,117.918,up-going
2.91,99.916,up-going
2.88,145.555,up-going
3.18,106.136,up-going
2.83,105.422,up-going
3.05,101.803,up-going
3.4,89.034,down-going
3.23,104.343,up-going
5.21,20.577,down-going
4.79,74.123,down-going
4.73,56.201,down-going
3.09,90.026,up-going
2.83,132.085,up-going
5.32,34.989,down-going
3.16,99.315,up-going
2.95,141.602,up-going
3.1,142.268,up-going
5.39,64.723,down-going
3.13,95.813,up-going
5.38,57.555,down-going
5.62,44.469,down-going
2.99,117.879,up-going
5.09,55.358,down-going
2.7,153.809,up-going
3.03,98.977,up-going
2.96,103.262,up-going
3.17,97.675,up-going
2.77,93.318,up-going
3.02,95.302,up-going
4.75,42.638,down-going
3.37,122.73,up-going
2.82,127.94,up-going
3.36,91.627,up-going
2.67,110.085,up-going
2.59,101.521,up-going
2.84,94.803,up-going
3.03,121.312,up-going
3.37,159.314,up-going
2.97,94.7,up-going
4.97,28.404,down-going
2.66,87.218,down-going
5.45,23.393,down-going
2.52,124.558,up-going
2.68,159.793,up-going
3.0,92.199,up-going
2.81,119.697,up-going
3.12,132.064,up-going
3.47,117.816,up-going
2.91,135.194,up-going
3.27,129.337,up-going
2.97,93.25,up-going
3.16,89.748,down-going
2.89,151.73,up-going
4.25,73.223,down-going
2.82,103.366,up-going
4.96,51.728,down-going
3.63,110.692,up-going
2.72,119.87,up-going
2.94,126.362,up-going
4.76,59.815,down-going
2.86,111.081,up-going
2.95,91.888,up-going
4.81,65.622,down-going
3.0,105.816,up-going
3.0,114.05,up-going
2.85,176.144,up-going
5.51,46.231,down-going
4.87,66.784,down-going
5.03,61.835,down-going
2.85,118.879,up-going
3.55,82.155,down-going
2.87,103.314,up-going
2.91,110.562,up-going
1.8,106.265,up-going
2.28,99.662,up-going
3.03,128.564,up-going
2.71,129.193,up-going
3.03,138.651,up-going
4.77,65.584,down-going
5.18,49.301,down-going
2.89,105.084,up-going
5.02,17.283,down-going
4.79,23.535,down-going
2.76,169.876,up-going
4.71,65.718,down-going
4.74,72.504,down-going
5.01,60.898,down-going
3.06,112.046,up-going
3.45,111.949,up-going
3.07,113.731,up-going
3.75,76.272,down-going
2.73,110.472,up-going
4.5,50.086,down-going
4.78,39.133,down-going
4.5,8.255,down-going
3.23,104.103,up-going
3.04,134.561,up-going
4.95,63.571,down-going
2.86,105.201,up-going
3.08,99.717,up-going
5.19,52.403,down-going
3.23,91.993,up-going
3.11,109.914,up-going
4.19,81.845,down-going
2.85,154.383,up-going
3.77,78.491,down-going
4.58,68.18,down-going
4.76,71.096,down-going
2.77,161.071,up-going
3.02,89.839,down-going
3.01,109.496,up-going
3.55,93.365,up-going
2.96,98.147,up-going
4.45,5.829,down-going
4.83,62.005,down-going
2.91,108.683,up-going
2.99,130.354,up-going
3.47,95.557,up-going
3.06,95.074,up-going
3.19,93.385,up-going
3.25,99.828,up-going
2.9,111.426,up-going
5.09,54.154,down-going
4.44,42.797,down-going
3.38,117.748,up-going
2.94,110.511,up-going
3.07,143.912,up-going
5.09,44.543,down-going
3.05,110.771,up-going
3.47,83.932,down-going
3.11,121.764,up-going
3.09,97.889,up-going
5.24,58.433,down-going
3.18,98.968,up-going
2.87,104.519,up-going
2.95,155.642,up-going
3.08,95.037,up-going
2.96,100.219,up-going
2.86,92.896,up-going
4.77,52.784,down-going
3.16,85.599,down-going
4.61,56.427,down-going
4.16,77.887,down-going
4.3,75.19,down-going
5.62,51.708,down-going
3.08,92.587,up-going
4.87,15.959,down-going
3.31,89.669,down-going
3.18,144.251,up-going
2.82,94.668,up-going
3.0,102.427,up-going
2.95,101.98,up-going
2.86,95.993,up-going
2.84,153.54,up-going
2.49,101.806,up-going
4.75,47.777,down-going
4.46,79.844,down-going
3.3,85.675,down-going
3.06,133.414,up-going
2.87,103.621,up-going
2.97,133.628,up-going
5.17,37.872,down-going
2.97,129.241,up-going
2.84,109.23,up-going
2.94,88.77,down-going
3.03,116.059,up-going
3.55,117.181,up-going
2.71,132.202,up-going
4.6,69.952,down-going
3.12,92.175,up-going
3.16,131.093,up-going
2.89,118.403,up-going
3.2,90.431,up-going
3.06,95.027,up-going
3.06,95.689,up-going
2.84,88.137,down-going
4.42,5.398,down-going
3.03,131.127,up-going
3.12,147.842,up-going
3.0,88.999,down-going
3.56,82.511,down-going
3.37,94.63,up-going
